281174.txt,3107,97,239,153,98,58,40,137,431,32.0309,31.7041,20.3072,1.5773,2.4388,1.5612,0.3791,0.5918,1.0103,0.4082,1.3980,0.8954,4.3980,2.8170,OUTFRONT Media Inc. ,1579877,2016
281172.txt,4418,196,319,249,198,53,42,147,604,22.5408,22.3131,17.7430,1.2704,1.6111,1.2576,0.2129,0.2677,1.0102,0.2121,0.7424,0.5904,3.0505,2.4257,OURPETS CO ,1094139,2016
281170.txt,9170,286,659,494,314,180,131,332,1283,32.0629,29.2038,18.5628,1.7273,2.0987,1.5732,0.3644,0.5732,1.0979,0.4172,1.0573,0.6721,4.0860,2.5972,ORTHOFIX INTERNATIONAL N V ,884624,2016
285577.txt,13,2,1,1,1,0,0,2,1,6.5000,13.0000,13.0000,0.5000,1.0000,1.0000,0.0000,0.0000,0.5000,0.0000,2.0000,2.0000,1.0000,1.0000,China Bull Management Inc ,1510963,2016
285578.txt,13,2,1,1,1,0,0,2,1,6.5000,13.0000,13.0000,0.5000,1.0000,1.0000,0.0000,0.0000,0.5000,0.0000,2.0000,2.0000,1.0000,1.0000,China Bull Management Inc ,1510963,2016
285579.txt,13,2,1,1,1,0,0,2,1,6.5000,13.0000,13.0000,0.5000,1.0000,1.0000,0.0000,0.0000,0.5000,0.0000,2.0000,2.0000,1.0000,1.0000,China Bull Management Inc ,1510963,2016
281168.txt,4232,129,328,228,136,90,65,138,577,32.8062,31.1176,18.5614,1.7674,2.4118,1.6765,0.3947,0.6618,1.0543,0.4779,1.0147,0.6053,4.2426,2.5307,ORMAT TECHNOLOGIES  INC. ,1296445,2016
282499.txt,3267,140,325,223,147,73,53,124,414,23.3357,22.2245,14.6502,1.5929,2.2109,1.5170,0.3274,0.4966,1.0500,0.3605,0.8435,0.5561,2.8163,1.8565,Thunderclap Entertainment  Inc. ,1514056,2016
281169.txt,4026,135,310,248,144,88,66,115,634,29.8222,27.9583,16.2339,1.8370,2.1528,1.7222,0.3548,0.6111,1.0667,0.4583,0.7986,0.4637,4.4028,2.5565,ORRSTOWN FINANCIAL SERVICES INC ,826154,2016
281167.txt,8973,324,648,513,335,161,107,368,1134,27.6944,26.7851,17.4912,1.5833,1.9343,1.5313,0.3138,0.4806,1.0340,0.3194,1.0985,0.7173,3.3851,2.2105,ORION FUTURES FUND LP ,1227265,2016
282498.txt,4369,147,285,204,156,49,40,165,604,29.7211,28.0064,21.4167,1.3878,1.8269,1.3077,0.2402,0.3141,1.0612,0.2564,1.0577,0.8088,3.8718,2.9608,Thompson Creek Metals Co Inc. ,1415020,2016
